# #GHz real imag
5.277499999999999858e+01 -8.068497293331426679e-02 1.222989685808601457e-01
5.278750000000000142e+01 -5.260344257615003072e-02 1.331382987829093645e-01
5.279999999999999716e+01 -2.320024621454551059e-02 1.371060813703166847e-01
5.281250000000000000e+01 5.971594660084653811e-03 1.344774944929476579e-01
5.282500000000000284e+01 3.369124280115365355e-02 1.255198673374310625e-01
5.283749999999999858e+01 5.857559819127461376e-02 1.107020071682247586e-01
5.285000000000000142e+01 7.906962024088835805e-02 9.069791183912261079e-02
5.286249999999999716e+01 9.398738441481085948e-02 6.721632404117953985e-02
5.287500000000000000e+01 1.033105318803890366e-01 4.174211944979131644e-02
5.288750000000000284e+01 1.068918690524312959e-01 1.530850869010975945e-02
5.289999999999999858e+01 1.046282494435417931e-01 -1.099115432655398301e-02
5.291250000000000142e+01 9.651080837732876894e-02 -3.589549132963523043e-02
5.292499999999999716e+01 8.281102318321242883e-02 -5.782150245675265338e-02
5.293750000000000000e+01 6.474115417799562733e-02 -7.527469854092273815e-02
5.295000000000000284e+01 4.371658083344905077e-02 -8.749417351546942556e-02
5.296249999999999858e+01 2.120024733915672893e-02 -9.447737890313889775e-02
5.297500000000000142e+01 -1.864949819414350469e-03 -9.600246990080409104e-02
5.298749999999999716e+01 -2.441296137033731328e-02 -9.186234106483978645e-02
5.300000000000000000e+01 -4.458161247597708376e-02 -8.224145154711993977e-02
5.301250000000000284e+01 -6.093473896238454229e-02 -6.821946044708253332e-02
5.302499999999999858e+01 -7.287892009134747107e-02 -5.107381657356416249e-02
5.303750000000000142e+01 -7.978152582075655197e-02 -3.161527723971051945e-02
5.304999999999999716e+01 -7.917729268704085110e-02 -1.216475720474056825e-02
5.306250000000000000e+01 -7.822914710411196793e-02 3.745126624906022425e-03
5.307500000000000284e+01 -7.166797460056190117e-02 2.196775361455918438e-02
5.308749999999999858e+01 -6.011049632345207006e-02 3.684699099625630275e-02
5.310000000000000142e+01 -4.523644647740582281e-02 4.781576399860487658e-02
5.311249999999999716e+01 -2.805787006059284536e-02 5.464432174820215565e-02
5.312500000000000000e+01 -9.477042975917808129e-03 5.656607750464109907e-02
5.313750000000000284e+01 9.054390603908606117e-03 5.324732816943152092e-02
5.314999999999999858e+01 2.601963780122739864e-02 4.491614861529349967e-02
